2,10.25,76.971,779.713,73.371,52.199,52.166,17.281,0.01,0.004,2.574,0.014,36.91,96.954,1.217,1.335
3,10.666666666666666,86.671,693.472,136.548,60.613,60.582,22.885,0.004,0.001,3.135,0.005,42.86,188.134,1.359,0.636
4,10.583333333333334,79.638,753.664,83.615,42.745,42.719,21.403,0.005,0.003,1.806,0.005,30.225,114.363,1.384,1.327
5,10.75,89.699,671.725,70.872,64.4,64.367,1.253,0.008,0.009,0.924,0.005,45.538,89.315,1.066,0.632
6,10.833333333333334,78.617,763.607,80.466,49.85,49.822,27.529,0.012,0.008,1.599,0.008,35.249,107.908,1.327,1.37
7,10.666666666666666,85.709,713.245,141.226,108.376,108.316,39.397,0.003,0.005,0.563,0.004,76.633,184.428,0.972,0.77
8,11.166666666666666,91.239,664.493,110.916,143.103,143.032,16.981,0.027,0.036,0.747,0.016,101.189,119.946,0.742,0.718
9,10.75,79.913,751.109,82.876,42.527,42.502,19.837,0.021,0.005,4.583,0.01,30.071,113.229,1.492,1.277
10,12.083333333333334,107.406,560.045,75.002,35.754,35.74,5.027,0.01,0.003,2.926,0.009,25.282,103.035,1.476,0.596
11,11.333333333333334,124.662,481.31,28.481,7.12,7.118,0.142,0.004,0.001,5.175,0.004,5.035,39.946,1.737,0.645
13,11.066666666666666,108.425,553.434,64.026,21.066,21.057,3.589,0.003,0.001,3.846,0.003,14.896,89.336,1.617,0.618
14,11.25,126.662,474.061,48.552,21.038,21.031,0.844,0.003,0.001,1.928,0.004,14.876,67.037,1.212,0.408
15,11.433333333333334,84.773,708.027,65.713,43.514,43.492,18.285,0.01,0.005,2.017,0.01,30.769,87.715,1.324,1.438
16,11.216690476190475,128.077,468.488,43.004,7.335,7.333,0.0,0.001,0.0,5.888,0.001,5.187,60.589,1.658,0.314
17,12.05,113.565,529.257,80.973,39.268,39.253,8.138,0.002,0.001,1.815,0.005,27.767,111.127,1.297,0.33
